mobai--列表,#genre#
CCTV1综合,http://ott.mobaibox.com/PLTV/4/224/3221228732/index.m3u8
CCTV2财经,http://ott.mobaibox.com/PLTV/4/224/3221228844/index.m3u8
CCTV3综艺,http://ott.mobaibox.com/PLTV/4/224/3221227546/index.m3u8
CCTV4中文国际,http://ott.mobaibox.com/PLTV/4/224/3221227549/index.m3u8
CCTV5体育,http://ott.mobaibox.com/PLTV/4/224/3221227537/index.m3u8
CCTV6电影,http://ott.mobaibox.com/PLTV/4/224/3221228516/index.m3u8
CCTV7国防军事,http://ott.mobaibox.com/PLTV/4/224/3221227626/index.m3u8
CCTV8电视剧,http://ott.mobaibox.com/PLTV/4/224/3221228578/index.m3u8
CCTV9纪录,http://ott.mobaibox.com/PLTV/4/224/3221227614/index.m3u8
CCTV10科教,http://ott.mobaibox.com/PLTV/4/224/3221227620/index.m3u8
CCTV11戏曲,http://ott.mobaibox.com/PLTV/4/224/3221227720/index.m3u8
CCTV12社会与法,http://ott.mobaibox.com/PLTV/4/224/3221227637/index.m3u8
CCTV13新闻,http://ott.mobaibox.com/PLTV/4/224/3221225560/index.m3u8
CCTV14少儿,http://ott.mobaibox.com/PLTV/4/224/3221227693/index.m3u8
CCTV15音乐,http://ott.mobaibox.com/PLTV/4/224/3221228622/index.m3u8
CCTV16奥林匹克,http://ott.mobaibox.com/PLTV/4/224/3221228112/index.m3u8
CCTV17农业农村,http://ott.mobaibox.com/PLTV/4/224/3221228642/index.m3u8
CCTV5+体育赛事,http://ott.mobaibox.com/PLTV/4/224/3221227502/index.m3u8
CETV-1教育,http://ott.mobaibox.com/PLTV/4/224/3221227560/index.m3u8
CETV-2教育,http://ott.mobaibox.com/PLTV/4/224/3221225850/index.m3u8
CETV-3教育,http://ott.mobaibox.com/PLTV/4/224/3221227018/index.m3u8
CETV-4教育,http://ott.mobaibox.com/PLTV/4/224/3221227028/index.m3u8
CETV-早期教育,http://ott.mobaibox.com/PLTV/4/224/3221228692/index.m3u8
CGTN-英语,http://ott.mobaibox.com/PLTV/4/224/3221228095/index.m3u8
CGTN-西语,http://ott.mobaibox.com/PLTV/4/224/3221228550/index.m3u8
CGTN-法语,http://ott.mobaibox.com/PLTV/4/224/3221228553/index.m3u8
CGTN-阿语,http://ott.mobaibox.com/PLTV/4/224/3221228573/index.m3u8
CGTN-俄语,http://ott.mobaibox.com/PLTV/4/224/3221228629/index.m3u8
CGTN-纪录,http://ott.mobaibox.com/PLTV/4/224/3221227574/index.m3u8
CCTV老故事,http://ott.mobaibox.com/PLTV/4/224/3221227043/index.m3u8
CCTV中学生,http://ott.mobaibox.com/PLTV/4/224/3221228704/index.m3u8
CCTV发现之旅,http://ott.mobaibox.com/PLTV/4/224/3221227030/index.m3u8
CCTV兵器科技,http://ott.mobaibox.com/PLTV/4/224/3221228686/index.m3u8
CCTV怀旧剧场,http://ott.mobaibox.com/PLTV/4/224/3221228671/index.m3u8
CCTV第一剧场,http://ott.mobaibox.com/PLTV/4/224/3221228659/index.m3u8
CCTV风云剧场,http://ott.mobaibox.com/PLTV/4/224/3221228662/index.m3u8
CCTV风云音乐,http://ott.mobaibox.com/PLTV/4/224/3221228665/index.m3u8
CCTV风云足球,http://ott.mobaibox.com/PLTV/4/224/3221228668/index.m3u8
CCTV世界地理,http://ott.mobaibox.com/PLTV/4/224/3221228680/index.m3u8
CCTV央视台球,http://ott.mobaibox.com/PLTV/4/224/3221228683/index.m3u8
CCTV电视指南,http://ott.mobaibox.com/PLTV/4/224/3221228689/index.m3u8
CCTV高尔夫网球,http://ott.mobaibox.com/PLTV/4/224/3221228138/index.m3u8
CCTV央视文化精品,http://ott.mobaibox.com/PLTV/4/224/3221228677/index.m3u8
